State,County,Diabetes Estimate
Idaho,Teton County,622.4
Montana,Valley County,624
Arkansas,Monroe County,624.8
Minnesota,Rock County,624.9
Nebraska,Colfax County,624.9
Missouri,Daviess County,626.3
West Virginia,Tucker County,626.8
Minnesota,Lac Qui Parle County,628.9
Oregon,Grant County,629.3
Minnesota,Clearwater County,629.6
Georgia,Terrell County,630.3
Kansas,Coffey County,631
Iowa,Greene County,632
Montana,Madison County,633.4
Michigan,Baraga County,633.9
North Dakota,Mckenzie County,634.4
Texas,Coleman County,636.5
Montana,Beaverhead County,637.4
North Dakota,Mercer County,638.2
Oklahoma,Kiowa County,639.8
Nebraska,Cheyenne County,640
Tennessee,Perry County,640
Tennessee,Trousdale County,640.8
Georgia,Jenkins County,641
Virginia,Rappahannock County,641.9
Texas,Terry County,643.4
Georgia,Irwin County,643.5
Missouri,Monroe County,644.6
Louisiana,Caldwell Parish,645.7
Texas,Duval County,646.6
Georgia,Wilcox County,647.5
Georgia,Montgomery County,647.8
Missouri,Howard County,648
Minnesota,Watonwan County,649.9
West Virginia,Gilmer County,653.3
Arkansas,Prairie County,654.3
Alaska,North Slope Borough,655
Texas,Zapata County,655.2
Illinois,Jasper County,655.5
Montana,Fergus County,656.2
West Virginia,Calhoun County,657.8
Texas,Brewster County,658.1
Oklahoma,Love County,658.3
Michigan,Schoolcraft County,658.9
Kentucky,Mclean County,659.6
Nebraska,Cuming County,660.1
Louisiana,Catahoula Parish,662.4
Nebraska,Box Butte County,663.7
Minnesota,Yellow Medicine County,664.4
South Dakota,Turner County,666.1
Texas,Runnels County,667.2
Arkansas,Nevada County,671.9
Colorado,Yuma County,673.1
North Dakota,Mountrail County,673.4
Arkansas,Newton County,677.9
Oregon,Lake County,678.6
Missouri,Maries County,679
Indiana,Warren County,679.3
Nebraska,Phelps County,681.7
Nebraska,Merrick County,681.8
Kentucky,Monroe County,683.3
California,Modoc County,684.4
Florida,Lafayette County,685.5
Iowa,Palo Alto County,686.6
Iowa,Sac County,687.2
Missouri,Lewis County,688.2
Michigan,Oscoda County,689
Iowa,Emmet County,689.4
Kansas,Marshall County,690.8
South Dakota,Roberts County,691.3
Kentucky,Menifee County,692.5
Texas,Dawson County,693.9
Iowa,Lyon County,695
Nebraska,Knox County,697.5
Missouri,St. Clair County,697.9
Kansas,Cloud County,701.9
Kentucky,Metcalfe County,702
Utah,Juab County,702.2
Montana,Stillwater County,703
North Carolina,Camden County,703.4
Nebraska,Holt County,703.5
Massachusetts,Nantucket County,703.9
North Carolina,Jones County,704
Missouri,Shannon County,704.7
Texas,San Augustine County,705.8
Idaho,Valley County,706.1
Georgia,Lincoln County,706.9
Georgia,Turner County,709.2
New Mexico,Quay County,709.5
Virginia,Charles City County,712.9
Mississippi,Franklin County,714.6
Georgia,Wilkinson County,716.5
Nebraska,Richardson County,716.5
Mississippi,Humphreys County,718.2
West Virginia,Clay County,718.3
Georgia,Twiggs County,719.4
Alabama,Bullock County,721.2
Idaho,Lemhi County,721.2
Montana,Rosebud County,723.2
Texas,Franklin County,723.3
Texas,Lamb County,723.3
Kentucky,Carroll County,725
Missouri,Harrison County,726.3
Arkansas,Scott County,728.1
Georgia,Evans County,728.9
Georgia,Seminole County,729.3
North Dakota,Walsh County,729.8
Kentucky,Wolfe County,731.1
Indiana,Switzerland County,731.6
Kentucky,Livingston County,731.8
Missouri,Madison County,732.3
Iowa,Winnebago County,732.6
Virginia,Richmond County,734.7
Oklahoma,Nowata County,738.6
Illinois,Cumberland County,739.4
Texas,Live Oak County,739.7
Washington,Ferry County,740.3
Minnesota,Jackson County,741.2
Montana,Dawson County,741.5
Alabama,Greene County,742.8
Illinois,Cass County,743.4
Louisiana,St. Helena Parish,743.9
Georgia,Candler County,745.1
Missouri,Iron County,746.1
Iowa,Guthrie County,746.9
Kansas,Wilson County,747.6
Kentucky,Crittenden County,748.8
Iowa,Humboldt County,749.1
Minnesota,Marshall County,750
Arkansas,Cleveland County,750.4
Iowa,Calhoun County,750.8
Louisiana,Madison Parish,751.3
Missouri,Barton County,751.8
Montana,Richland County,753.4
Missouri,Ralls County,755.2
Nebraska,Hamilton County,757.8
Mississippi,Webster County,757.9
Idaho,Franklin County,759.1
Arkansas,Bradley County,759.2
Missouri,Ozark County,760.4
Iowa,Lucas County,760.7
Georgia,Early County,760.8
Colorado,Huerfano County,761.3
Iowa,Keokuk County,761.8
Arkansas,Montgomery County,763.2
Nevada,White Pine County,764
Indiana,Martin County,764.5
Oklahoma,Johnston County,766.2
South Dakota,Clay County,766.7
Virginia,Mathews County,768.6
Montana,Deer Lodge County,769
Iowa,Louisa County,770.6
Michigan,Alger County,770.6
Missouri,Carroll County,772.8
Minnesota,Swift County,774
Iowa,Mitchell County,775.2
Florida,Liberty County,775.7
Georgia,Heard County,775.9
Georgia,Bacon County,778.5
Colorado,Rio Grande County,780.6
Idaho,Owyhee County,781.1
Georgia,Lanier County,784
Mississippi,Claiborne County,784.8
Texas,Clay County,786.2
Texas,Reeves County,787.4
Georgia,Taylor County,788.5
Nebraska,Custer County,788.9
Iowa,Monona County,789
Missouri,Dekalb County,790
Minnesota,Lake County,791.7
Missouri,Hickory County,794.9
South Dakota,Custer County,797.1
Iowa,Grundy County,798.2
Georgia,Bleckley County,798.6
Iowa,Hancock County,798.6
North Dakota,Mclean County,802.2
Alabama,Perry County,803.3
Utah,Emery County,804
Illinois,Marshall County,804.7
Texas,Marion County,806.2
Illinois,Wabash County,806.7
Iowa,Chickasaw County,807.4
Kansas,Rice County,809.1
Minnesota,Pope County,809.4
West Virginia,Pendleton County,809.9
Missouri,Montgomery County,810
Colorado,Moffat County,811.4
South Dakota,Todd County,812.2
Alaska,Kodiak Island Borough,812.6
Kansas,Clay County,815.6
Kentucky,Lyon County,818.8
Alaska,Bethel Census Area,818.9
Texas,Madison County,820
Texas,Pecos County,822.7
Missouri,Grundy County,823.1
Texas,Camp County,826.3
Kansas,Brown County,828.9
Kentucky,Todd County,829.8
West Virginia,Doddridge County,832.8
Georgia,Hancock County,834.2
Kentucky,Powell County,837.1
Texas,Karnes County,837.3
Wyoming,Big Horn County,837.5
Arkansas,Lee County,837.7
Wisconsin,Forest County,840.6
Texas,Andrews County,840.9
Idaho,Benewah County,841.7
Illinois,Menard County,843.2
Iowa,Montgomery County,844.1
Virginia,Poquoson City,844.2
Colorado,Prowers County,844.7
Mississippi,Choctaw County,845.8
West Virginia,Pocahontas County,847
Kentucky,Clinton County,847.7
Oklahoma,Blaine County,848.5
Indiana,Pulaski County,850.2
Iowa,Obrien County,851.1
Kentucky,Green County,851.1
Illinois,Johnson County,851.7
Missouri,Oregon County,852.2
Washington,Skamania County,852.7
West Virginia,Webster County,855.7
Wyoming,Teton County,856.6
Oklahoma,Atoka County,860.3
Virginia,Williamsburg City,861
South Dakota,Lake County,861.5
Minnesota,Pennington County,861.7
Arkansas,Pike County,862.3
Louisiana,West Carroll Parish,862.7
Texas,Morris County,872.8
Virginia,Martinsville City,873.4
Kentucky,Martin County,873.8
Missouri,Caldwell County,876.7
Virginia,Radford City,878.1
Tennessee,Lewis County,879
Illinois,Greene County,879.4
Texas,Deaf Smith County,881.2
Oklahoma,Latimer County,883
Oklahoma,Pushmataha County,883.6
Iowa,Franklin County,883.8
Arkansas,Chicot County,884.2
Oklahoma,Haskell County,884.4
Oregon,Morrow County,884.4
Illinois,Ford County,884.7
Indiana,Blackford County,884.7
Illinois,Moultrie County,887.1
Kentucky,Webster County,888
Alabama,Lowndes County,891.6
West Virginia,Tyler County,891.7
Idaho,Washington County,892
Kentucky,Washington County,892.7
Virginia,Cumberland County,892.8
Minnesota,Cottonwood County,895
Oklahoma,Noble County,895.2
Texas,Scurry County,896.2
Texas,Rains County,897.8
Arkansas,Lincoln County,901.1
Mississippi,Montgomery County,901.9
North Dakota,Ramsey County,904.4
Arkansas,Little River County,904.7
Illinois,Clay County,905.6
Georgia,Jeff Davis County,905.9
North Dakota,Barnes County,906.1
Missouri,Linn County,907.6
Indiana,Crawford County,911.4
Texas,Gaines County,912.5
Texas,Blanco County,914.2
Texas,Wilbarger County,916.1
Kentucky,Owen County,916.3
Tennessee,Cannon County,917.5
Michigan,Montmorency County,919.1
Missouri,Moniteau County,925
Kentucky,Butler County,925.6
Arkansas,Perry County,926
Idaho,Boundary County,926.9
