County,State,CountyFIPS,Number,Lower Limit, Upper Limit
Aurora County,South Dakota,46003,188,107.9,289
Keweenaw County,Michigan,26083,189.1,113,291.4
Rawlins County,Kansas,20153,190.9,116.2,286.5
Perkins County,Nebraska,31135,191.7,127.4,280.4
Frontier County,Nebraska,31063,192.5,129,277.4
Wayne County,Utah,49055,195.4,125.9,303.4
Highland County,Virginia,51091,195.7,112.7,315.3
Haines Borough,Alaska,2100,195.8,129.3,283.4
Pawnee County,Nebraska,31133,198.7,128.7,281.7
Chase County,Kansas,20017,198.8,116.5,300.3
Upton County,Texas,48461,199.2,115.2,318.9
Stanley County,South Dakota,46117,200.9,120.8,306.6
Hemphill County,Texas,48211,204,115.6,319.7
Douglas County,South Dakota,46043,204.7,110.3,333
Perkins County,South Dakota,46105,205,128.7,300.4
Gove County,Kansas,20063,205.6,123.9,294
Hanson County,South Dakota,46061,205.6,122.4,314.5
Cheyenne County,Kansas,20023,208.5,128.4,325.4
Glascock County,Georgia,13125,209,126.5,314.1
Webster County,Georgia,13307,209.3,132.1,327.1
Crockett County,Texas,48105,210.6,119.1,339.5
Decatur County,Kansas,20039,210.7,130.8,316.1
Quitman County,Georgia,13239,211,127.4,318.8
Butte County,Idaho,16023,211.6,135.7,308.7
Grant County,North Dakota,38037,214.3,136.6,311.3
Hall County,Texas,48191,214.3,127.6,335.9
Concho County,Texas,48095,220.5,128.9,340.9
Jeff Davis County,Texas,48243,222.8,132.2,350.5
Wrangell City and Borough,Alaska,2275,223.3,141.9,323.2
Shackelford County,Texas,48417,223.3,129.3,351.8
Donley County,Texas,48129,226.1,134.2,345.7
Franklin County,Nebraska,31061,226.2,136.6,328.3
Kearny County,Kansas,20093,228.4,138.1,339.6
Knox County,Texas,48275,229.1,138.2,371
Echols County,Georgia,13101,231.2,137.7,348.5
Harper County,Oklahoma,40059,231.5,147.3,347.7
Crane County,Texas,48103,232.1,130.2,368.9
Chautauqua County,Kansas,20019,232.6,140.4,345.2
Petersburg Census Area,Alaska,2195,233.5,144.4,351
Dillingham Census Area,Alaska,2070,234.7,157.2,330.7
Hand County,South Dakota,46059,235.3,135.7,363.2
Hitchcock County,Nebraska,31087,235.8,154.3,317.2
Rush County,Kansas,20165,236,145.8,349.9
Haskell County,Kansas,20081,237,139.8,367.3
Sierra County,California,6091,237.2,137.3,382.4
Roger Mills County,Oklahoma,40129,237.5,138,363.7
Coke County,Texas,48081,238.4,136.9,367.8
Harlan County,Nebraska,31083,239.9,147.6,355
Clark County,South Dakota,46025,241.4,151.1,358.1
Sutton County,Texas,48435,241.8,135.9,386.7
Meade County,Kansas,20119,243.5,145.3,370.2
Webster County,Nebraska,31181,244.7,166.5,338.4
Jackson County,South Dakota,46071,245.2,180.4,326.6
Deuel County,South Dakota,46039,245.8,159.9,364.7
Baylor County,Texas,48023,245.8,143.6,388.3
Elk County,Kansas,20049,248.5,153,368.7
Lincoln County,Kansas,20105,249.1,150.4,375.5
Nance County,Nebraska,31125,251.2,166.7,368.5
Baker County,Georgia,13007,251.7,158.5,380.2
Edmunds County,South Dakota,46045,251.7,162.8,375.5
Woodson County,Kansas,20207,254,157.8,372.7
Sherman County,Nebraska,31163,254.3,165.4,364.4
Adams County,Iowa,19003,255.7,152.4,400.3
Foster County,North Dakota,38031,256.6,167.1,368.5
Clay County,Georgia,13061,257,157.4,384.9
Kinney County,Texas,48271,257,148.3,398.6
Granite County,Montana,30039,257.5,157.7,388.9
Johnson County,Nebraska,31097,257.9,171.6,375.8
Jewell County,Kansas,20089,260.4,164.3,388.3
Lyman County,South Dakota,46085,261.5,159.8,395.9
Ness County,Kansas,20135,262.2,173.9,366.6
Ziebach County,South Dakota,46137,264.4,193.2,352.3
Sweet Grass County,Montana,30097,265.5,166.9,386.5
Mcintosh County,North Dakota,38051,266.9,184.8,375.1
Norton City,Virginia,51720,268.4,155.9,436.1
Sioux County,North Dakota,38085,268.9,167.4,400
Fisher County,Texas,48151,268.9,156.3,430.8
Pierce County,North Dakota,38069,271.4,167.8,396.6
Ellis County,Oklahoma,40045,272.7,163.8,414.5
Hardeman County,Texas,48197,274.2,166.2,428.2
Gray County,Kansas,20069,274.7,173.6,417.8
Hudspeth County,Texas,48229,275.1,155.5,424.6
Jim Hogg County,Texas,48247,276.1,153.2,462.9
Traverse County,Minnesota,27155,277.5,177.5,410.4
Baca County,Colorado,8009,278.9,167.1,423.4
Martin County,Texas,48317,279.3,161.9,432.6
Knox County,Missouri,29103,279.8,169.1,425.3
Trego County,Kansas,20195,279.9,177.2,399.3
Mercer County,Missouri,29129,280.8,166.4,428
Edwards County,Kansas,20047,281.1,183.3,397.2
Marshall County,South Dakota,46091,282.9,173.5,432.7
Dunn County,North Dakota,38025,283,178.2,399.4
Real County,Texas,48385,283.5,164.5,456.6
Brown County,Nebraska,31017,284.9,191.8,399.7
Tyrrell County,North Carolina,37177,285,158.6,445.2
Hansford County,Texas,48195,285.4,158.5,452
Cavalier County,North Dakota,38019,285.8,195.2,408.3
Smith County,Kansas,20183,291.9,168.6,435.4
Hidalgo County,New Mexico,35023,293.9,176,459.2
Union County,New Mexico,35059,296.3,187.7,443.7
Hardin County,Illinois,17069,296.9,169.2,476.9
Bennett County,South Dakota,46007,296.9,243.7,352.1
Emmons County,North Dakota,38029,297.7,190.8,418.3
Osborne County,Kansas,20141,298.8,191.5,436.3
Schuyler County,Missouri,29197,299.9,173.4,450.2
Valley County,Nebraska,31175,301,198.7,415.2
Sheridan County,Montana,30091,301.2,207.8,425
Nelson County,North Dakota,38063,301.3,205.7,408.9
Owsley County,Kentucky,21189,301.6,184.4,455.1
Scotland County,Missouri,29199,304,181.9,440.3
Stafford County,Kansas,20185,305,191.9,453.5
Costilla County,Colorado,8023,305.5,181.7,444.9
Dickey County,North Dakota,38021,310.7,209.3,451.1
Nuckolls County,Nebraska,31129,311.4,192.5,436.1
Barber County,Kansas,20007,313,190.5,458.4
Phillips County,Montana,30071,314.6,213.6,437.9
Lake Of The Woods County,Minnesota,27077,316.5,187.9,485
Lamoure County,North Dakota,38045,319.1,208.9,447.9
Carlisle County,Kentucky,21039,319.3,201.3,506.7
Wheeler County,Texas,48483,320.4,185.5,485.2
Phillips County,Colorado,8095,320.6,191.1,481.6
Beaver County,Utah,49001,320.8,193.5,510.3
Kimball County,Nebraska,31105,321.6,207.1,463.1
Sargent County,North Dakota,38081,324.5,222.1,452.6
