State,County,median_household_income,total_population,Diabetes Estimate
North Carolina,Harnett County,54565.0,134328.0,11281
California,Imperial County,46222.0,180580.0,11287.2
New Mexico,San Juan County,47643.0,125608.0,11299.6
Colorado,Jackson County,46157.0,1316.0,113.1
Oklahoma,Murray County,53696.0,13972.0,1130.6
Michigan,Arenac County,45679.0,15013.0,1133.8
Iowa,Winneshiek County,63162.0,20090.0,1134.2
Indiana,Newton County,57866.0,13981.0,1134.3
Oklahoma,Craig County,43003.0,14274.0,1134.4
Virginia,Northampton County,50819.0,11826.0,1134.5
Michigan,Alcona County,43341.0,10396.0,1134.7
Kentucky,Magoffin County,27807.0,12346.0,1135.5
Iowa,Cedar County,69259.0,18475.0,1136.4
South Dakota,Union County,74006.0,15659.0,1136.5
Arkansas,Izard County,42818.0,13596.0,1136.7
Michigan,Missaukee County,47370.0,15075.0,1138
South Carolina,Sumter County,46570.0,106675.0,11385.1
Georgia,Coweta County,79795.0,145839.0,11389.1
Michigan,Crawford County,49987.0,13904.0,1139.6
Texas,Falls County,36854.0,17281.0,1141.8
Georgia,Towns County,51257.0,11815.0,1142.9
Michigan,Berrien County,52500.0,153797.0,11421.7
Pennsylvania,Fayette County,49075.0,130329.0,11423.4
Indiana,Laporte County,57010.0,110026.0,11431.6
Ohio,Columbiana County,49407.0,102514.0,11437.3
Ohio,Portage County,59485.0,162476.0,11438.6
Virginia,King William County,73284.0,16985.0,1146.3
Texas,Robertson County,53823.0,17094.0,1149.3
Indiana,Tippecanoe County,51926.0,193302.0,11499
Alaska,Denali Borough,76364.0,2502.0,115.1
Montana,Mccone County,57045.0,1826.0,115.1
Mississippi,Kemper County,30735.0,9829.0,1151.2
Ohio,Monroe County,46241.0,13827.0,1152.4
Texas,Comal County,80781.0,148921.0,11546.1
Arkansas,Madison County,41446.0,16393.0,1155.2
Utah,Washington County,61747.0,172127.0,11558
North Dakota,Cass County,65976.0,179937.0,11570.2
Iowa,Iowa County,62660.0,16155.0,1158.2
Missouri,Andrew County,58911.0,17554.0,1158.5
Illinois,Union County,51655.0,16829.0,1158.8
Ohio,Wood County,63189.0,130662.0,11589.8
Virginia,Charlotte County,40924.0,11953.0,1159.6
Virginia,Arlington County,122604.0,236434.0,11591.2
South Dakota,Oglala Lakota County,31423.0,14277.0,1160.8
Louisiana,West Feliciana Parish,59688.0,15441.0,1161
Wyoming,Uinta County,72458.0,20374.0,1162.9
Wisconsin,Rock County,59519.0,162532.0,11626.6
Mississippi,Lawrence County,36239.0,12595.0,1163.3
California,Colusa County,59427.0,21491.0,1164.9
Florida,Flagler County,57536.0,112854.0,11640.6
Iowa,Jefferson County,47401.0,18153.0,1170.2
Kentucky,Lewis County,29844.0,13345.0,1170.8
Arkansas,Sebastian County,47878.0,127670.0,11718.8
New Mexico,Torrance County,38240.0,15477.0,1173.8
Ohio,Fairfield County,70906.0,156204.0,11735.4
North Dakota,Richland County,60833.0,16245.0,1174.8
Kansas,Allen County,47983.0,12503.0,1176.2
Wisconsin,Marquette County,53293.0,15380.0,1177.7
Wisconsin,Kenosha County,66595.0,168998.0,11772.4
Iowa,Mills County,75137.0,15023.0,1178.1
Virginia,Dickenson County,30116.0,14524.0,1178.3
Louisiana,Tangipahoa Parish,48745.0,133753.0,11789.9
Minnesota,Redwood County,57243.0,15193.0,1179.2
Nebraska,York County,63105.0,13671.0,1179.4
Nebraska,Otoe County,64755.0,15965.0,1179.9
Texas,Lee County,56696.0,17174.0,1182
Iowa,Floyd County,51768.0,15713.0,1183.6
Iowa,Harrison County,64154.0,14043.0,1185.6
Missouri,Dallas County,40404.0,16841.0,1185.7
New York,Rensselaer County,72510.0,159013.0,11863.4
Washington,Pend Oreille County,55021.0,13588.0,1188.4
Alabama,Conecuh County,35444.0,12219.0,1188.7
New York,Chautauqua County,48315.0,127584.0,11883
Kentucky,Caldwell County,48281.0,12679.0,1189.3
Oklahoma,Kingfisher County,61738.0,15811.0,1193.2
West Virginia,Berkeley County,65286.0,117615.0,11937.6
California,Shasta County,57139.0,179267.0,11954.5
New York,Ulster County,65306.0,178371.0,11965.2
North Carolina,Swain County,45554.0,14241.0,1197.7
Ohio,Richland County,49186.0,121043.0,11976.2
Texas,Wichita County,49710.0,132154.0,11976.8
Tennessee,Blount County,60301.0,131641.0,11983.2
Hawaii,Kalawao County,76465.0,436.0,12
Colorado,Cheyenne County,67763.0,1999.0,120.2
North Carolina,Perquimans County,51036.0,13513.0,1201.2
Virginia,Nelson County,62203.0,14812.0,1201.8
North Carolina,Chowan County,44050.0,13995.0,1202.6
Iowa,Clay County,51259.0,16138.0,1204.3
Montana,Big Horn County,48273.0,13302.0,1204.7
Virginia,Hampton City,57041.0,135169.0,12043.8
Wisconsin,Price County,49749.0,13351.0,1205
Virginia,Lancaster County,59736.0,10686.0,1206.7
Michigan,Presque Isle County,48734.0,12687.0,1207.4
New York,Schenectady County,66488.0,155086.0,12091.5
South Dakota,Beadle County,53461.0,18338.0,1210.1
Kentucky,Garrard County,55369.0,17554.0,1210.7
Iowa,Wright County,51221.0,12644.0,1210.8
California,Butte County,54972.0,223344.0,12107
Arkansas,Fulton County,35274.0,12301.0,1211.8
Virginia,Lunenburg County,45884.0,12294.0,1211.8
Hawaii,Maui County,84363.0,166657.0,12115
New Mexico,Colfax County,36937.0,12106.0,1213.3
Oregon,Hood River County,72418.0,23270.0,1213.8
