State,County,median_household_income,total_population
California,Imperial County,46222.0,180580.0
California,Kern County,54851.0,892458.0
California,Kings County,61556.0,151090.0
California,Lassen County,56971.0,30600.0
California,Madera County,61924.0,155925.0
California,Marin County,121671.0,259441.0
California,Mariposa County,50960.0,17319.0
California,Mendocino County,52915.0,87110.0
California,Merced County,56330.0,273661.0
California,Modoc County,51250.0,8853.0
California,Monterey County,76943.0,432977.0
California,Napa County,92219.0,138572.0
California,Nevada County,68333.0,99417.0
California,Orange County,94441.0,3170345.0
California,Placer County,93677.0,391799.0
California,Plumas County,57233.0,18844.0
California,Riverside County,70732.0,2437864.0
California,Sacramento County,70684.0,1537948.0
California,San Benito County,85808.0,61547.0
California,San Bernardino County,65761.0,2162532.0
California,San Diego County,82426.0,3323970.0
California,San Francisco County,119136.0,874784.0
California,San Joaquin County,68628.0,751615.0
California,San Luis Obispo County,77948.0,282517.0
California,San Mateo County,128091.0,765623.0
California,Santa Clara County,130890.0,1924379.0
California,Santa Cruz County,89986.0,273170.0
California,Sierra County,52103.0,2898.0
California,Solano County,84638.0,444538.0
California,Sonoma County,86173.0,496801.0
California,Sutter County,63502.0,96315.0
California,Tehama County,48895.0,64176.0
California,Tulare County,52534.0,463955.0
California,Tuolumne County,60509.0,54147.0
California,Yolo County,73746.0,218774.0
California,Yuba County,59424.0,77524.0
California,Mono County,64924.0,14395.0
California,Amador County,65187.0,39023.0
California,Calaveras County,67054.0,45828.0
California,Del Norte County,49981.0,27692.0
California,Glenn County,51682.0,28060.0
California,Inyo County,59296.0,17930.0
California,Lake County,49254.0,64276.0
California,Los Angeles County,71358.0,10040682.0
California,Santa Barbara County,78925.0,444895.0
California,Shasta County,57139.0,179267.0
California,Siskiyou County,47403.0,43516.0
California,Stanislaus County,62873.0,546235.0
California,Trinity County,41780.0,12541.0
California,Ventura County,89295.0,845599.0
Colorado,Alamosa County,41121.0,16153.0
Colorado,Archuleta County,55658.0,13588.0
Colorado,Baca County,34655.0,3570.0
Colorado,Boulder County,87476.0,324682.0
Colorado,Broomfield County,101206.0,69444.0
Colorado,Cheyenne County,67763.0,1999.0
Colorado,Conejos County,33611.0,8130.0
Colorado,Costilla County,34732.0,3810.0
Colorado,Custer County,60361.0,4941.0
Colorado,Delta County,47968.0,30758.0
Colorado,Dolores County,56786.0,1896.0
Colorado,Douglas County,121393.0,344280.0
Colorado,Eagle County,85877.0,54960.0
Colorado,Elbert County,104231.0,26230.0
Colorado,El Paso County,71517.0,710499.0
Colorado,Fremont County,52364.0,47725.0
Colorado,Garfield County,75435.0,59605.0
Colorado,Gilpin County,90547.0,6108.0
Colorado,Grand County,71769.0,15536.0
Colorado,Gunnison County,60557.0,17119.0
Colorado,Hinsdale County,39038.0,781.0
Colorado,Huerfano County,40255.0,6769.0
Colorado,Jackson County,46157.0,1316.0
Colorado,Jefferson County,87793.0,578795.0
Colorado,Kiowa County,39503.0,1463.0
Colorado,Kit Carson County,50411.0,7246.0
Colorado,Lake County,65858.0,7845.0
Colorado,La Plata County,69291.0,56138.0
Colorado,Larimer County,76366.0,350523.0
Colorado,Las Animas County,44159.0,14323.0
Colorado,Lincoln County,47042.0,5608.0
Colorado,Logan County,49560.0,22282.0
Colorado,Mesa County,57157.0,152962.0
Colorado,Moffat County,54583.0,13150.0
Colorado,Montezuma County,50717.0,26266.0
Colorado,Morgan County,58468.0,28617.0
Colorado,Ouray County,68893.0,4890.0
Colorado,Park County,76611.0,18345.0
Colorado,Pitkin County,82455.0,17980.0
Colorado,Prowers County,42648.0,12035.0
Colorado,Rio Blanco County,54247.0,6369.0
Colorado,Rio Grande County,43570.0,11300.0
Colorado,Saguache County,45231.0,6730.0
Colorado,San Miguel County,66898.0,8110.0
Colorado,Sedgwick County,43875.0,2306.0
Colorado,Teller County,61463.0,24981.0
Colorado,Washington County,51181.0,4869.0
Colorado,Yuma County,54393.0,10013.0
Colorado,Adams County,73817.0,509844.0
Colorado,Arapahoe County,80291.0,649980.0
Colorado,Bent County,38083.0,5677.0
Colorado,Chaffee County,55176.0,19977.0
Colorado,Clear Creek County,71919.0,9533.0
Colorado,Crowley County,40785.0,5733.0
Colorado,Denver County,72661.0,715878.0
